85,SZA,สลกบาตร,Salokbat,ถาวร ,22kV,-,Without NGR,จ. กำแพงเพชร ,กฟน.2, อนุมัติจ่ายไฟ วันที่ 27 ธ.ค. 2565 , 1. อนุมัติจ่ายไฟสถานีไฟฟ้าสลกบาตร (ระบบ 22 kV Indoor Type) จ.กำแพงเพชร คพจ.1.pdf ,KT1A ขนาด 50 MVA,KT3A ขนาด 50 MVA
86,BEA,บางเลน 1,Bang Lane 1,ถาวร ,115-22kV, Main and Transfer,Without NGR,จ. นครปฐม ,กฟก.3, อนุมัติจ่ายไฟ วันที่ 1 ธ.ค. 2534 ,-,TP1 ขนาด 50 MVA,TP2 ขนาด 50 MVA
87,BCA,บ้านไผ่,Ban Phai,ถาวร ,22kV,-,Without NGR,จ. ขอนแก่น ,กฟฉ.1, อนุมัติจ่ายไฟ วันที่ 24 ม.ค. 2566 , 1. ขออนุมัติจ่ายไฟสถานีไฟฟ้าบ้านไผ่ (ระบบ 22 kV Indoor Type) จ.ขอนแก่น ตามโครงการ คพจ.1.PDF ,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
88,RCN,โรจนะ 1,Rotchana 1,ถาวร ,115-22kV, Main and Transfer,Without NGR,จ. พระนครศรีอยุธยา ,กฟก.1, อนุมัติจ่ายไฟ วันที่ 30 เม.ย. 2535 ,-,TP1 ขนาด 40 MVA,TP2 ขนาด 40 MVA
89,BKS,บางกระสั้น 1,Bang Krasan 1,ถาวร ,115-22kV, Main and Transfer,Without NGR,จ. พระนครศรีอยุธยา ,กฟก.1, อนุมัติจ่ายไฟ วันที่ 22 มิ.ย. 2535 ,-,TP1 ขนาด 40 MVA,TP2 ขนาด 40 MVA
90,BSM,บางสมัคร 1,Bang Samak 1,ถาวร ,115-22kV, Main and Transfer,Without NGR,จ. ฉะเชิงเทรา ,กฟก.2, อนุมัติจ่ายไฟ วันที่ 12 ก.ค. 2535 ,-,TP1 ขนาด 50 MVA,TP2 ขนาด 50 MVA,TP3 ขนาด 50 MVA
91,NVB,นวนคร 2,Nava Nakhon 2,ถาวร ,115-22kV, Main and Transfer,Without NGR,จ. ปทุมธานี ,กฟก.1, อนุมัติจ่ายไฟ วันที่ 9 ส.ค. 2535 ,-,TP1 ขนาด 40 MVA,TP2 ขนาด 40 MVA
92,NPL,หนองปลิง,Nong Pling,ถาวร ,115-22kV, Main and Transfer,Without NGR,จ. สระบุรี ,กฟก.1, อนุมัติจ่ายไฟ วันที่ 14 ส.ค. 2535 ,-,TP1 ขนาด 50 MVA,TP2 ขนาด 50 MVA
93,SMC,สมุทรสาคร 3,Samut Sakhon 3,ถาวร ,115kV และ 22/33kV, GIS-Indoor/Double Bus Singer Breaker,Without NGR,จ. สมุทรสาคร ,กฟก.3, อนุมัติจ่ายไฟ วันที่ 3 ก.ย. 2535 ,-,TP1 ขนาด 50 MVA,TP2 ขนาด 50 MVA
94,BOA,บ้านดอน 1,Ban Don 1,ถาวร ,33kV,-,Without NGR,จ. สุราษฎร์ธานี ,กฟต.2, อนุมัติจ่ายไฟ วันที่ 7 ก.ย. 2535 ,-,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
